Hub_Name,Hub_Type,Location,State_Region,Geographical_Zone,Area_In_Acres,Target_Capacity_TEU_Annum,Capacity_Utilization_Pct,Utilized_Volume_TEU_Annual,Investment_Cost_Crores,Development_Phase,Connectivity_Modes,Connectivity_Matrix,Rail_Physical_Destinations,Road_Physical_Destinations,Port_Physical_Destinations,Airport_Physical_Destinations,Outbound_Rail_Pct,Outbound_Road_Pct,Outbound_Port_Pct,Outbound_Airport_Pct,Heavy_Machinery_Fleet,Catchment_Score,Avg_Freight_Speed_KmH,Real_Anchor_Industries,Industry_Driving_Distance_KM,Pipeline_Tracker,Regulatory_Layer,Transaction_Proxies_Bilty,Data_Source_Verification_Link,Source_Authentication,Verification_Status
Indore Multi-Modal Logistics Park,Multi-Modal Logistics Park,Indore,Madhya Pradesh,Central,255.17,120000.0,0,0,1111.0,Awarded,"Rail, Road",30 km from Indore airport,null,null,ports,Indore airport (30 km),0,0,0,0,0,0,0,null,0,Status: Awarded; Prop. capacity (Area in Acres): 255.17; Investment INR Cr.: 1111.00,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://invest.mp.gov.in/wp-content/uploads/2025/08/FINAL-PM-MITRA-LAND-POLICY-MP-AUGUST-22.pdf ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.linkedin.com/posts/concorindia_the-concor-inland-container-depot-icd-activity-7419758614325735425-nyaH ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Bengaluru Multi-Modal Logistics Park,Multi-Modal Logistics Park (MMLP),Bengaluru,Karnataka,South,406.0,0,0,0,1770.0,Bids awarded; at various stages of development,"Road, Rail, Air, Port",406 acres total (393 acres usable area); adjacent to Dobaspet industrial corridor; NH 648 (Dabbaspet-Hosur); connected to Satellite Town Ring Road (STRR); next to Bengaluru-Hubballi-Mumbai rail line; 1.1-km siding from Dodbele station; six railway sidings in total; 55 km from Kempegowda International Airport; Chennai port via STRR and Bengaluru-Chennai Expressway; ICD facility; ~40 acres commercial areas; concession period 45 years; warehousing capacity 4.5 million sq ft; expected to handle 30 million metric tonnes of cargo by 2070; EV charging infrastructure mandated,Dodbele station (1.1-km siding); Bengaluru-Hubballi-Mumbai rail line; six railway sidings,NH 648 (Dabbaspet-Hosur); Satellite Town Ring Road (STRR); Bengaluru-Chennai Expressway,Chennai port (via STRR and Bengaluru-Chennai Expressway),Kempegowda International Airport (55 km),0,0,0,0,0,0,0,"KIADB Industrial Area auto-ancillary and engineering manufacturing cluster; Dobaspet mechanical, automobile, and electrical engineering industries",12.0,Bids awarded for development of MMLP at Bengaluru; at various stages of development,"Bharatmala Pariyojana; PM Gati Shakti; National Logistics Policy (2022); public-private partnership; SPV Bengaluru MMLP Pvt Ltd (NHLML 51.29%, KIADB 32.38%, RVNL 16.33%)",Warehousing capacity 4.5 million sq ft; ICD facility; ~40 acres commercial areas; expected to handle 30 million metric tonnes of cargo by 2070; six railway sidings; concession period 45 years,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://nhlml.org/multi-modal-logistics-park ; https://nimbuspost.com/blog/mmlp-multi-modal-logistics-parks/ ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Operator (nhlml.org),Verified
Vishakhapatnam Multi-Modal Logistics Park,Multi-Modal Logistics Park (MMLP),Vishakhapatnam,null,South,0,0,0,0,0,Feasibility Study/DPR in progress,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Feasibility Study/DPR is in progress for MMLP at Vishakhapatnam,null,null,https://nhlml.org/multi-modal-logistics-park,Operator (nhlml.org),Verified
Delhi-NCR Multi-Modal Logistics Park,Multi-Modal Logistics Park,"Delhi-NCR (Delhi, Gurgaon, Ghaziabad, Faridabad, Noida)",Delhi/ Haryana/ Uttar Pradesh,Central,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Mumbai Multi-Modal Logistics Park,Multi-Modal Logistics Park,"Mumbai (Mumbai, Mumbai Suburbs, JNPT, Mumbai Port, Raigad District)",Maharashtra,West,0,0,0,0,0,At various stages of feasibility studies,null,"Mumbai, Mumbai Suburbs, JNPT, Mumbai Port, Raigad District",null,null,"JNPT, Mumbai Port",null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://nimbuspost.com/blog/mmlp-multi-modal-logistics-parks/ ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
North Gujarat Multi-Modal Logistics Park,Multi-Modal Logistics Park,North Gujarat (Ahmedabad and Vadodara),Gujarat,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
South Gujarat Multi-Modal Logistics Park,Multi-Modal Logistics Park,South Gujarat (Surat and Bharuch),Gujarat,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
South Punjab Multi-Modal Logistics Park,Multi-Modal Logistics Park,"South Punjab (Ludhiana, Sangrur, Patiala)",Punjab,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
North Punjab Multi-Modal Logistics Park,Multi-Modal Logistics Park,"North Punjab (Amritsar, Jalandhar, Gurudaspur)",Punjab,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Jaipur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Jaipur,Rajasthan,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Kolkata Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kolkata,West Bengal,East,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Ambala Multi-Modal Logistics Park,Multi-Modal Logistics Park,Ambala,Haryana,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Valsad Multi-Modal Logistics Park,Multi-Modal Logistics Park,Valsad,Gujarat,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Jagatsinghpur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Jagatsinghpur,Odisha,East,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Kota Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kota,Rajasthan,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Panaji Multi-Modal Logistics Park,Multi-Modal Logistics Park,Panaji,Goa,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Hisar Multi-Modal Logistics Park,Multi-Modal Logistics Park,Hisar,Haryana,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Bhopal Multi-Modal Logistics Park,Multi-Modal Logistics Park,Bhopal,Madhya Pradesh,Central,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Sundergarh Multi-Modal Logistics Park,Multi-Modal Logistics Park,Sundergarh,Odisha,East,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park,Operator (nhlml.org),Verified
Bhatinda Multi-Modal Logistics Park,Multi-Modal Logistics Park,Bhatinda,Punjab,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Solan Multi-Modal Logistics Park,Multi-Modal Logistics Park,Solan,Himachal Pradesh,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
